extraversion,agreeableness,conscientiousness,neuroticism,openness,implusiveness,rational,experiential,normative.influence,informational.influence,need_for_closure,utilitarian,hedonic,individual,collective
2,4,3.5,2.5,3,0.771862497,0.040821435,1.38253641,2,3,0.676279348,0.852121749,-0.419341709,0.2883029,-0.9842861
3,4.333333333,3.5,2,3,-0.446568963,0.093516134,-0.464450139,2,4,0.190303792,-0.226090937,-0.209939034,-1.0807481,-1.8109278
3,4.333333333,5,2,4.5,-0.226516986,1.11742044,-1.41320092,1,1,1.447553333,1.053810997,-0.093809785,1.21766327,0.88466882
1.5,4.333333333,4,3,3.5,-0.225050152,0.579120937,1.38253641,4,4,0.762680672,-1.241477221,0.622289636,-0.3498289,-0.0012319
5,4.666666667,5,1.5,3.5,-1.038315681,0.093516134,-0.464450139,2,4,-0.063730275,0.58568942,0.87315404,1.24207856,0.46102183
3.5,5,5,1,5,-0.665154106,1.11742044,1.38253641,1,5,0.168211215,0.250172662,-0.150438391,0.2617432,0.36040115
3.5,3,4,2.5,4.5,-0.631682916,0.579120937,-0.93882553,5,5,-1.404244132,1.389327755,0.929782646,0.48459968,-0.0039869
2,3.666666667,4.5,2,3,-0.851734893,-1.954292478,0.450623966,2,4,-1.258703966,0.012081969,-0.100120853,-0.226193,-0.3952494
2,3.333333333,4,1,3,-1.038315681,0.093516134,-0.481288477,2,2,1.571000922,-0.333575703,-0.069459804,-1.2569184,-1.3727935
2.5,5,4.5,3.5,4.5,-0.851734893,-0.930388172,0.450623966,1,3,0.9394852,-0.226008724,-0.049803316,-0.2283374,0.52579084
1,3.333333333,3.5,3.5,3.5,0.55181052,0.093516134,-0.023751424,4,4,-0.641125484,0.595830334,-0.181099441,1.24207856,0.46102183
2,4.666666667,4.5,3,4.5,-0.851734893,0.093516134,0.450623966,4,4,-0.363982392,0.470062632,-0.012831198,-0.5726854,0.36315618
3,3,3.5,2.5,3.5,0.99044764,0.093516134,0.924999357,5,4,-0.89515955,1.194557837,-1.057901574,-0.3742442,0.42241512
1.5,4,3.5,3.5,5,2.363455532,1.11742044,0.450623966,2,2,0.182148455,-0.323434789,-1.123713285,0.28615849,-0.0632458
3.5,4.666666667,4.5,1.5,4.5,-0.631682916,0.093516134,-0.481288477,3,4,0.044763626,0.109508034,0.973789115,-0.5259992,0.43690243
3,4.333333333,5,1.5,4.5,-0.631682916,1.11742044,-0.464450139,2,4,0.153257526,-0.33349349,0.090675914,-1.1864019,0.92256339
2,3,4.5,2,2,-0.039936198,0.631815637,0.450623966,2,4,-0.363982392,0.250254875,0.009697327,0.38537908,-0.0336164
1.5,4.666666667,4,1,3,-0.039936198,-1.415992975,-0.023751424,2,3,-0.764573073,0.488263355,-0.200755929,-1.0850369,0.03115263
2,3.333333333,3,4,4,0.958443285,-0.930388172,-0.955663868,2,4,-0.0868393,-0.351776425,0.118464927,0.40979438,-0.4572634
1.5,4,4,4.5,5,1.146490906,0.631815637,0.450623966,2,4,1.208472955,0.091225099,1.001578128,-1.062766,0.52854587
3,4,3,2,3.5,-0.851734893,-0.930388172,0.450623966,2,3,0.399136256,-0.553465673,-0.207066997,-0.3720998,-0.4986251
3.5,4.333333333,4.5,3.5,4,-0.445102129,0.093516134,1.38253641,1,3,-0.472476292,-0.437921098,0.518782524,-0.4511939,0.89017889
2,2,3,5,5,-0.22798382,0.093516134,-0.498126815,1,1,-0.509522558,-0.384956286,1.102213203,-0.9147149,-0.2891186
4,3,4.5,5,1,-0.851734893,0.093516134,-2.345113364,2,4,-1.07876243,0.091307312,1.161713846,1.14285797,0.43139236
